               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.062968,            0.013746,            0.016243,             0.51455,             0.70471,             0.79503,             0.48911,            0.050089,           0.0078509,            0.008227,            0.009109,            0.009109,            0.009109
                  47,            0.069935,            0.012356,            0.015953,             0.43214,                0.85,             0.72488,             0.25621,            0.041648,           0.0076005,           0.0067549,           0.0090892,           0.0090892,           0.0090892
                  48,            0.067044,            0.014017,            0.014892,             0.43214,                0.85,             0.72488,             0.25621,            0.041648,           0.0076005,           0.0067549,           0.0090694,           0.0090694,           0.0090694
                  49,            0.056725,             0.01377,            0.013821,             0.57209,               0.825,             0.78062,             0.33971,            0.035474,            0.007383,            0.006549,           0.0090496,           0.0090496,           0.0090496
                  50,            0.060044,            0.013606,            0.011953,             0.22077,               0.675,             0.31333,             0.15861,             0.04659,           0.0076196,           0.0070703,           0.0090298,           0.0090298,           0.0090298
                  51,             0.06966,            0.012166,            0.015165,              0.5366,             0.88072,             0.65646,             0.26762,            0.036982,           0.0072595,           0.0067087,             0.00901,             0.00901,             0.00901
                  52,            0.062388,            0.014777,            0.012682,              0.5366,             0.88072,             0.65646,             0.26762,            0.036982,           0.0072595,           0.0067087,           0.0089902,           0.0089902,           0.0089902
                  53,            0.057145,            0.015708,            0.013094,             0.77088,                0.85,             0.83184,             0.40577,            0.033878,           0.0071598,           0.0077333,           0.0089704,           0.0089704,           0.0089704
                  54,            0.057178,            0.013475,             0.01424,             0.77543,             0.64548,             0.78956,             0.28691,            0.040158,           0.0068929,           0.0090563,           0.0089506,           0.0089506,           0.0089506
                  55,            0.069874,            0.012631,             0.01088,             0.48114,               0.575,             0.57088,             0.24435,            0.043266,           0.0065997,            0.010215,           0.0089308,           0.0089308,           0.0089308
                  56,            0.064683,            0.012028,             0.01345,             0.48114,               0.575,             0.57088,             0.24435,            0.043266,           0.0065997,            0.010215,            0.008911,            0.008911,            0.008911
                  57,            0.063238,            0.012636,            0.012354,             0.67614,             0.58138,             0.80394,             0.46568,            0.033749,            0.006633,            0.011973,           0.0088912,           0.0088912,           0.0088912
                  58,             0.05996,            0.012419,            0.012033,             0.40447,                0.85,             0.72043,             0.33315,            0.036725,           0.0067016,             0.01029,           0.0088714,           0.0088714,           0.0088714
